,name,frequency
33199,魏寨,25
32519,傅士仁,25
15640,器械,24
3286,旦夕,24
4048,两马,24
1327,岸上,24
1586,大功,24
8356,已有,24
9000,兵出,24
517,天地,24
4567,不须,24
4100,遣人,24
5270,数百人,24
9062,顿首,24
4391,锦袍,24
936,追袭,24
9392,入城,24
7736,刘繇,24
15202,袁谭,24
7777,一员大将,24
1957,妇人,24
39186,吴主孙,24
10485,王朗,24
2178,李儒,24
8162,吊桥,24
6750,流涕,24
7650,修书,24
1393,降者,24
6068,等候,24
4309,五路,24
10143,军前,24
647,早降,24
43497,黄皓,24
3515,甚急,24
22800,利害,24
2759,赤兔马,24
4183,鼓声,24
5914,目视,24
3432,飞奔,24
32093,鼓角,24
804,攻击,24
10561,安定,24
8545,一带,24
4238,分拨,24
12176,之恩,24
12352,未定,24
32094,受计,24
36,汉朝,24
9736,此城,24
5569,弓弩,24
3452,取出,24
4603,一队,24
385,一大,24
25339,马良,24
39788,阴平,24
8662,急令,24
4244,先令,24
37803,曹睿,24
4706,操军,24
27868,张松,24
1108,回军,23
811,杀到,23
1645,告急,23
15143,兵法,23
1947,陈留王,23
4475,本寨,23
2958,山东,23
19234,老将,23
4639,数千,23
1043,安得,23
29683,李严,23
17805,迤逦,23
21946,长坂,23
8524,保护,23
10794,主人,23
10288,不降,23
1822,之势,23
1748,来降,23
3835,应允,23
4939,送与,23
3549,直入,23
37446,兀突,23
29499,绵竹,23
8177,大开,23
5021,留下,23
1708,结连,23
3782,文官,23
1189,车骑,23
2001,自刎,23
5623,活捉,23
7289,书信,23
2821,何为,23
5276,面前,23
7201,山中,23
1366,南门,23
4123,拜见,23
5411,次子,23
684,不计其数,23
1375,二十余,23
10912,危矣,23
5595,一合,23
11071,馆舍,23
2887,自领,23
12816,一班,23
2172,张济,23
4352,不分胜负,23
666,措手不及,23
5534,军法,23
19465,小童,23
7759,军到,23
3813,愿往,22
1762,县令,22
5733,招安,22
14363,喝令,22
6,立功,22
2480,一行,22
1714,不明,22
23338,水寨,22
14232,王忠,22
4807,不觉,22
5545,罢兵,22
23190,地理,22
6938,纵横,22
9689,安歇,22
5580,计策,22
18195,救兵,22
1299,射死,22
4726,齐发,22
2,豪杰,22
3748,刘岱,22
1743,帐下,22
5463,只顾,22
2930,手提,22
1691,下手,22
11819,急退,22
2931,宝剑,22
9825,将令,22
1717,忠臣,22
4622,居民,22
1079,大战,22
5810,不安,22
8711,知之,22
1349,千余,22
1100,大作,22
646,逆贼,22
521,可图,22
7772,鼓响,22
3578,回头,22
1944,重用,22
526,白马,22
8105,典韦,22
6627,百余人,22
951,护送,22
1911,富贵,22
8390,元帅,22
31636,夏侯尚,22
939,之声,22
3349,一骑,22
2169,守住,22
19312,刘琮,22
5265,探马,22
12677,当年,22
15081,守御,22
1351,州郡,22
22256,沿江,22
1145,纷纷,22
4295,马挺枪,21
9180,水中,21
1584,转过,21
6364,安忍,21
714,鼓噪,21
21983,正言间,21
9576,扮作,21
1600,玄德乃,21
9412,三百,21
9059,二十余里,21
706,取胜,21
14362,何用,21
9149,小舟,21
9850,上城,21
4136,来报,21
6260,羞惭,21
667,起处,21
3768,陶谦,21
4274,旗下,21
4275,出阵,21
4580,故来,21
7133,拥出,21
16164,来取,21
419,长叹,21
3972,将校,21
8107,救出,21
8094,追至,21
8071,右有,21
5566,上山,21
1942,国舅,21
7188,行军,21
7979,率兵,21
7962,军来,21
1991,不宜,21
2348,杀死,21
434,玄德见,21
11616,一刀斩,21
968,黄门,21
5578,黄昏,21
267,何进,21
437,问其,21
16741,兵败,21
4701,军杀,21
5621,放声大哭,21
11699,践踏,21
5315,兵器,21
29017,雷铜,21
2166,便行,21
6063,何意,21
7462,濮阳,21
2562,公卿,21
8133,黎阳,21
7510,二处,21
12586,震地,21
4901,泄漏,21
31755,敌人,21
3411,门吏,21
2519,抚慰,21
4714,造饭,21
3741,第一,21
5561,冲出,21
10592,乃令,21
4759,渡河,21
8619,曹贼,21
8624,奸计,21
7107,遂曰,21
19311,刘琦,21
6043,称谢,21
6593,十日,21
899,奸雄,21
5538,此非,20
7463,献计,20
2242,主簿,20
37987,高翔,20
1192,有功,20
2502,失色,20
7341,全家,20
9768,纪灵,20
4189,正欲,20
7326,辎重,20
12058,曹丞相,20
750,近闻,20
252,二弟,20
4200,辕门,20
9858,相迎,20
4204,英勇,20
7029,只宜,20
12340,尚有,20
3701,武艺,20
5445,多言,20
11680,镇守,20
6786,四路,20
17518,二万,20
1846,后患,20
1563,一连,20
2951,袁氏,20
30435,南郑,20
4841,受命,20
11478,战不,20
2938,太尉,20
630,破敌,20
1765,旧日,20
8507,兵至,20
4767,交马,20
584,置酒,20
8560,疑惑,20
8588,决战,20
1551,认得,20
1867,本初,20
2195,幸甚,20
7758,轻进,20
9563,前至,20
2565,徐徐,20
11702,惊疑,20
1398,班师回,20
6329,机会,20
86,急救,20
189,异心,20
18750,张南,20
1469,终日,20
7933,陈登,20
18127,前队,20
641,左有,20
5054,脱身,20
16499,周仓,20
23177,中央,20
1686,可怜,20
10699,西南,20
2856,丈夫,20
5960,天命,20
901,二十,20
3761,北海,20
13124,观看,20
4098,屯扎,20
21917,当阳,20
4028,彼军,20
3965,下关,20
962,可破,20
1074,甚厚,20
7550,未必,19
1368,北门,19
4941,路上,19
33099,朱然,19
9023,时值,19
7062,年幼,19
24676,兵去,19
1870,御林军,19
9049,军屯,19
54,宦官,19
10583,董袭,19
35802,魏将,19
989,问罪,19
860,之状,19
9839,既有,19
9119,韩暹,19
1951,专权,19
1505,目今,19
8028,魏续,19
5389,战马,19
685,大胜,19
6974,停当,19
2611,未迟,19
41727,毋丘俭,19
34606,多官,19
38646,祁山寨,19
38779,孙礼,19
10635,之险,19
4083,近前,19
2552,有变,19
3888,调遣,19
20848,大江,19
26040,国太,19
10548,敌楼,19
1,桃园,19
5450,随行,19
10263,陈武,19
3503,天色,19
14357,甘夫人,19
7101,陈仓,19
4819,尸首,19
4826,锦囊,19
2364,休走,19
8353,公安,19
6431,相遇,19
5899,意欲,19
14209,高览,19
2863,自去,19
917,内外,19
2761,千里,19
6452,岂能,19
3242,护卫,19
5264,左冲右,19
14430,祢衡,19
7744,以报,19
5342,致书,19
12508,某有,19
225,万余,19
6835,首尾,19
25221,兵权,19
20458,孔明乃,19
5199,常山,19
34740,冯习,19
6246,老贼,19
34224,新城,19
6198,相随,19
6327,相救,19
1387,只待,19
3923,流星,19
2835,之功,19
21157,孔明入,19
474,坐下,19
11758,急难,19
17205,已亡,19
5171,有何面目,19
5134,沮授,19
1443,权且,19
42150,陈泰,19
4140,小将,19
7277,身上,19
15311,之重,19
4014,死于,19
6345,其心,19
34303,魏国,19
5155,尽起,19
3720,大义,19
1236,二千,19
3245,书略,19
1451,克日,18
5774,仰天,18
2709,金珠,18
1075,合兵,18
15243,土山,18
1380,飞身,18
3928,径来,18
4356,三十,18
15639,不战,18
15268,火光冲天,18
637,披发,18
6416,尚未,18
7028,远来,18
635,山下,18
4490,早早,18
37,高祖,18
18853,道路,18
3527,今晚,18
87,入宫,18
31941,鼓角齐鸣,18
3878,升帐,18
4690,行间,18
5212,甲兵,18
3259,轻动,18
7889,空虚,18
38160,崔谅,18
16689,即遣,18
2596,篡逆,18
7786,劳军,18
2982,一道,18
5162,何敢,18
11684,三年,18
11829,今操,18
480,城去,18
7940,不取,18
2837,之礼,18
5220,弓弩手,18
11739,军令,18
7627,离城,18
2161,二十万,18
2162,常有,18
7348,操闻,18
7441,之命,18
3164,日月,18
5589,去处,18
7905,郭嘉,18
519,结为,18
6154,手指,18
1868,现为,18
8593,相持,18
19035,蔡夫人,18
10809,不易,18
8435,操大惊,18
3101,饮食,18
164,一名,18
19313,赵云引,18
41728,公孙渊,18
28057,渭水,18
1360,聚集,18
4962,深沟高垒,18
182,太平,18
11550,请罪,18
19330,文聘,18
3833,推辞,18
8143,刘晔,18
5071,未有,18
5394,忧虑,18
5390,兴师,18
4020,屯住,18
5089,长驱,18
3274,皆曰,18
35789,王双,18
13811,实为,18
9697,翼德,18
4216,小卒,18
3911,人为,18
769,相拒,18
1187,余众,18
19149,伊籍,18
717,玄德引,18
18188,乃唤,18
1272,劫掠,18
4126,一遍,18
3915,险要,18
10317,主将,17
4964,疑兵,17
15786,之仇,17
1832,之祸,17
8251,挂孝,17
12311,径奔,17
24730,武昌,17
15820,刘辟,17
8386,队伍,17
3321,宝刀,17
1051,张翼德,17
8157,暗喜,17
27256,潼关,17
2346,家属,17
9299,无可,17
7217,子孙,17
1919,谋害,17
528,焚香,17
1949,骠骑,17
9358,尘头,17
1955,半酣,17
8030,侯成,17
5388,大船,17
659,马舞刀,17
5098,彼必,17
9849,机密,17
96,半夜,17
1779,皇后,17
12309,横刀,17
4815,火把,17
31882,陈式,17
2406,五更,17
15172,轻骑,17
4590,门下,17
793,火攻,17
2403,渐渐,17
4619,临行,17
12745,车胄,17
3483,其缚,17
6902,二贼,17
2394,忽有,17
9111,一应,17
12671,忽一人,17
12199,其妻,17
29651,杨松,17
1681,近侍,17
3024,生灵,17
2787,相会,17
1704,父母,17
4730,挥刀,17
16270,久闻,17
4734,操视,17
7043,险峻,17
1735,直抵,17
29241,蒋琬,17
14240,八月,17
3779,诸路军,17
9434,为名,17
62,时有,17
29077,魏延引,17
24679,彝陵,17
7919,养病,17
2544,泰山,17
17769,全胜,17
2219,按兵不动,17
2543,军兵,17
11771,观之,17
3056,惟有,17
12053,知是,17
17346,乌巢,17
19996,树木,17
3042,当以,17
5321,归寨,17
10416,出兵,17
12474,小车,17
6206,径往,17
7687,仁义,17
2291,天数,17
4009,出关,17
2125,李肃,17
16792,华歆,17
1171,具说,17
2142,必败,17
29016,吴兰,17
21104,权从,17
21062,小船,17
9664,妙计,17
2038,尽力,17
16669,同宗,17
7913,二子,17
3716,檄文,17
1332,上岸,17
17940,一场,17
3712,麾下,17
452,宗亲,17
2517,拜于,16
12099,谓之,16
21619,各带,16
13335,小人,16
6794,西凉兵,16
7483,南方,16
1724,狱中,16
12999,三尺,16
716,迎战,16
5275,正说,16
4579,何事,16
7390,操怒,16
1193,无罪,16
7615,回家,16
10634,何策,16
4770,杀散,16
5295,大队,16
6064,昨日,16
25362,四轮车,16
469,一辆,16
3523,曹氏,16
4672,自引兵,16
4618,杀人,16
15160,东南风,16
1650,后园,16
4601,之民,16
12384,旬日,16
2204,多疑,16
26023,完备,16
17236,东川,16
8682,大司马,16
25858,交割,16
5467,所得,16
3990,零陵,16
2746,那马,16
16205,普净,16
27058,入寇,16
5235,马前,16
5565,一百,16
3442,沉吟,16
2148,密诏,16
8410,提备,16
12357,已定,16
8032,诸人,16
1914,汝何,16
991,军人,16
990,听罢,16
3252,报国,16
4531,关中,16
1926,已决,16
8093,前行,16
43100,王经,16
15391,领诺,16
11584,催军,16
1954,酒至,16
2319,冲天,16
30403,杨任,16
14558,人物,16
11060,十余里,16
1243,奔入,16
7980,应诺,16
7973,回兵,16
7967,已失,16
1235,铁骑,16
19853,徐母,16
974,军粮,16
1992,久居,16
7931,刘使君,16
5028,拨回,16
7809,吞并,16
17688,多谋,16
10481,分布,16
8477,保守,16
8465,吾令,16
5708,城郭,16
8446,接战,16
7270,一手,16
61,辅佐,16
19088,屯田,16
13132,子服,16
17806,北岸,16
23165,蒋干,16
2303,谋反,16
11518,江口,16
2483,先使,16
297,火速,16
1862,以安,16
13121,一夜,16
20010,无异,16
11658,妄动,16
4195,地上,16
4976,扬州,16
34997,吴王,16
1225,宛城,16
6838,忿怒,16
2536,出入,16
19063,名为,16
38285,姜维引,16
18875,向导,16
32436,仲达,16
3602,之徒,16
5491,便令,16
704,奇兵,16
28214,阆中,16
15279,山顶,16
2426,却是,16
3544,草堂,16
2726,故人,16
15211,答礼,16
11217,见于,16
1339,尽弃,16
19164,刘禅,16
2722,礼物,16
45349,杜预,15
23410,江北,15
5673,回营,15
1945,设朝,15
9175,船头,15
7193,贤士,15
10864,何日,15
17017,勃然大怒,15
4758,上流,15
4085,方知,15
1326,财物,15
14247,进取,15
25199,回时,15
4753,已到,15
4360,三个,15
12403,粮道,15
923,马步军,15
166,张宝,15
5881,只留,15
932,旗幡,15
9669,未得,15
8048,可引,15
895,不答,15
16291,果见,15
16292,听候,15
30285,持节,15
6462,奋然,15
5050,无用,15
6967,谢恩,15
693,救援,15
27419,渭南,15
13464,方回,15
3750,河内,15
950,一簇,15
20850,夏口,15
9148,一只,15
3443,半晌,15
21768,南岸,15
9609,岂不闻,15
9613,公言,15
36668,酋长,15
3311,近日,15
10471,攻取,15
4721,逃命,15
79,骤起,15
1506,正要,15
17791,阵法,15
5263,骑马,15
3680,辱骂,15
8623,其势,15
2280,不思,15
15136,似此,15
31344,王必,15
8633,各有,15
9942,回来,15
15849,关将军,15
