date,option,stock,Lns,r,sigma,datedif,sigma1
2006/12/14,4.187,7.02,1.948763218,0.033312276,0.352898614,0.432876712,0.417428153
2006/12/15,4.212,7.08,1.957273908,0.00851069,0.353096093,0.430136986,0.420996879
2006/12/18,4.411,7.25,1.981001469,0.023727561,0.35143662,0.421917808,0.42107623
2006/12/19,4.291,7.18,1.971299383,-0.009702086,0.353379543,0.419178082,0.420911795
2006/12/20,5.013,7.8,2.054123734,0.082824351,0.354315538,0.416438356,0.417233294
2006/12/21,5.004,7.77,2.050270164,-0.003853569,0.386348474,0.41369863,0.464453686
2006/12/22,5.093,7.8,2.054123734,0.003853569,0.385445307,0.410958904,0.465788117
2006/12/25,5.233,7.94,2.071913275,0.017789542,0.383358128,0.402739726,0.455932348
2006/12/26,5.264,7.99,2.07819076,0.006277485,0.382875015,0.4,0.450772245
2006/12/27,5.301,7.9,2.066862759,-0.011328,0.381598906,0.397260274,0.450675182
2006/12/28,5.57,8.04,2.084429083,0.017566324,0.382208678,0.394520548,0.448286478
2006/12/29,6.272,8.82,2.17702187,0.092592787,0.381916525,0.391780822,0.436671803
2007/1/4,6.285,9.13,2.211565695,0.034543825,0.418737309,0.375342466,0.491715032
2007/1/5,6.246,9.19,2.218115936,0.006550242,0.416727007,0.37260274,0.49333619
2007/1/8,6.52,9.58,2.259677592,0.041561656,0.413850894,0.364383562,0.492534466
2007/1/9,6.782,9.89,2.291524146,0.031846554,0.419292587,0.361643836,0.49728946
2007/1/10,6.952,10.32,2.33408376,0.042559614,0.417274718,0.35890411,0.494257423
2007/1/11,6.6,10,2.302585093,-0.031498667,0.421466276,0.356164384,0.496321291
2007/1/12,6.51,10.05,2.307572635,0.004987542,0.425948923,0.353424658,0.513861561
2007/1/15,7.773,11.06,2.403334996,0.095762362,0.424713374,0.345205479,0.506328464
2007/1/16,8.434,12,2.48490665,0.081571654,0.457184924,0.342465753,0.550245123
2007/1/17,7.482,11.16,2.412335957,-0.072570693,0.476200221,0.339726027,0.576167182
2007/1/18,7.828,11.38,2.431857429,0.019521472,0.503337715,0.336986301,0.630641068
2007/1/19,8.124,11.49,2.441477092,0.009619663,0.498541703,0.334246575,0.626357266
2007/1/22,9.031,12.3,2.509599262,0.068122171,0.498324086,0.326027397,0.623077803
2007/1/23,8.88,11.99,2.484072969,-0.025526293,0.509689273,0.323287671,0.621716393
2007/1/24,9.071,12.2,2.501435952,0.017362983,0.515270663,0.320547945,0.62358381
2007/1/25,8.646,11.66,2.456164181,-0.045271771,0.514734737,0.317808219,0.582045531
2007/1/26,8.635,11.57,2.448415541,-0.00774864,0.525131065,0.315068493,0.595868202
2007/1/29,9.249,12.19,2.500615943,0.052200402,0.525487885,0.306849315,0.595976871
2007/1/30,8.765,11.75,2.463853241,-0.036762703,0.530311659,0.304109589,0.603190637
2007/1/31,8.027,10.85,2.38416508,-0.079688161,0.538460185,0.301369863,0.621557194
2007/2/1,8.016,10.61,2.361796953,-0.022368127,0.567844,0.298630137,0.677281791
2007/2/2,7.776,10.58,2.358965426,-0.002831526,0.569848701,0.295890411,0.684205777
2007/2/5,7.55,10.23,2.32532458,-0.033640846,0.567526013,0.287671233,0.68267174
2007/2/6,7.917,10.62,2.362739016,0.037414436,0.572951531,0.284931507,0.663835865
2007/2/7,8.25,11.05,2.402430428,0.039691412,0.575495468,0.282191781,0.667334104
2007/2/8,8.56,11.56,2.447550863,0.045120435,0.574255509,0.279452055,0.671940771
2007/2/9,8.388,11.33,2.427454075,-0.020096788,0.575890298,0.276712329,0.678220619
2007/2/12,9.09,12.11,2.494031558,0.066577483,0.579269558,0.268493151,0.684103304
2007/2/13,9.144,12.17,2.498973907,0.004942349,0.587162961,0.265753425,0.697352861
2007/2/14,10.669,13.39,2.59450816,0.095534253,0.582355315,0.263013699,0.697754513
2007/2/15,11.18,14.48,2.672768387,0.078260227,0.605152759,0.260273973,0.700453908
2007/2/16,11.049,14.13,2.648300197,-0.02446819,0.617818896,0.257534247,0.721001579
2007/2/26,11.742,14.84,2.697326238,0.049026041,0.622194897,0.230136986,0.729152076
2007/2/27,9.892,13.36,2.592265168,-0.10506107,0.625559151,0.22739726,0.731672589
2007/2/28,10.863,13.87,2.629728234,0.037463066,0.667601544,0.224657534,0.80155563
2007/3/1,10.084,13,2.564949357,-0.064778877,0.66764964,0.221917808,0.80002453
2007/3/2,10.397,13.22,2.581730834,0.016781477,0.685297594,0.219178082,0.818916672
2007/3/5,10.369,13.13,2.574899688,-0.006831146,0.682819168,0.210958904,0.819140443
2007/3/6,10.759,13.47,2.60046499,0.025565302,0.683327522,0.208219178,0.781149889
2007/3/7,11.36,14.19,2.652537491,0.052072501,0.682592943,0.205479452,0.752649014
2007/3/8,11.549,14.39,2.666533521,0.01399603,0.686959966,0.202739726,0.730900845
2007/3/9,11.268,14,2.63905733,-0.027476191,0.684189391,0.2,0.730365773
2007/3/12,11.095,13.81,2.625392967,-0.013664362,0.686363245,0.191780822,0.736891692
2007/3/13,11.272,13.97,2.636912173,0.011519206,0.68202821,0.189041096,0.71708622
2007/3/14,10.596,13.44,2.598235335,-0.038676838,0.678597418,0.18630137,0.712325544
2007/3/15,10.746,13.56,2.607124283,0.008888947,0.671438119,0.183561644,0.721591065
2007/3/16,10.208,13.16,2.577181926,-0.029942357,0.662300212,0.180821918,0.708061544
2007/3/19,10.479,13.4,2.595254707,0.018072781,0.666382993,0.17260274,0.713931852
2007/3/20,10.595,13.58,2.608598122,0.013343415,0.666508385,0.169863014,0.701816058
2007/3/21,10.696,13.82,2.626116818,0.017518696,0.665049011,0.167123288,0.692791185
2007/3/22,10.531,13.73,2.61958322,-0.006533599,0.665154239,0.164383562,0.649299127
2007/3/23,10.274,13.61,2.610804817,-0.008778403,0.665572338,0.161643836,0.644839539
2007/3/26,10.589,13.88,2.630448955,0.019644138,0.66546191,0.153424658,0.64589361
2007/3/27,10.896,14.39,2.666533521,0.036084566,0.649665088,0.150684932,0.635057446
2007/3/28,10.929,14.56,2.678278043,0.011744522,0.651182303,0.147945205,0.634611652
2007/3/29,11.127,14.83,2.696652156,0.018374113,0.651059282,0.145205479,0.6289292
2007/3/30,11.597,15.59,2.746629683,0.049977527,0.651086844,0.142465753,0.621055629
2007/4/2,12.241,16.14,2.781300663,0.03467098,0.655728605,0.134246575,0.625972823
2007/4/3,12.168,16.07,2.77695418,-0.004346483,0.655769996,0.131506849,0.609227359
2007/4/4,12.118,16.1,2.778819272,0.001865092,0.656453288,0.128767123,0.610339111
2007/4/5,12.312,16.32,2.79239135,0.013572078,0.635987314,0.126027397,0.557740648
2007/4/6,12.724,16.99,2.832624936,0.040233586,0.634111197,0.123287671,0.518453326
2007/4/9,14.134,18,2.890371758,0.057746822,0.636958525,0.115068493,0.521258083
2007/4/10,13.851,17.77,2.877511642,-0.012860116,0.640938274,0.112328767,0.527523972
2007/4/11,14.566,18.22,2.902519892,0.02500825,0.64111843,0.109589041,0.423724258
2007/4/12,14.571,18.01,2.890927159,-0.011592733,0.638466906,0.106849315,0.418534467
2007/4/13,14.293,17.51,2.862772146,-0.028155013,0.634565816,0.104109589,0.366310631
2007/4/16,14.614,17.78,2.87807423,0.015302084,0.638961462,0.095890411,0.381505074
2007/4/17,15.559,18.78,2.932792474,0.054718244,0.614858729,0.093150685,0.378943108
2007/4/18,16.149,19.44,2.967332799,0.034540325,0.604204908,0.090410959,0.396713277
2007/4/19,14.54,18.05,2.893145685,-0.074187114,0.584472725,0.087671233,0.385043884
2007/4/20,15.973,19.39,2.964757469,0.071611784,0.606999096,0.084931507,0.451057618
2007/4/23,18.386,21.33,3.060114532,0.095357063,0.620098144,0.076712329,0.473123055
2007/4/24,17.964,21.84,3.083743151,0.023628618,0.632756998,0.073972603,0.522482721
2007/4/26,19.048,22.95,3.133317937,0.049574786,0.629475296,0.068493151,0.523016693
2007/4/27,21.431,25.25,3.228826156,0.095508219,0.63420753,0.065753425,0.508067347
2007/4/30,23.442,27.78,3.324316337,0.095490182,0.646007915,0.057534247,0.551139662
2007/5/8,23.822,28.92,3.364533397,0.04021706,0.664991114,0.035616438,0.56898489
2007/5/9,22.338,27.38,3.30981282,-0.054720577,0.662701459,0.032876712,0.570188972
2007/5/10,21.836,26.28,3.268808194,-0.041004626,0.669172366,0.030136986,0.611829929
2007/5/11,22.091,26.49,3.276767303,0.00795911,0.651654284,0.02739726,0.637420546
2007/5/14,21.988,26.44,3.274878015,-0.001889288,0.647508205,0.019178082,0.633598115
